model,roc_auc,pr_auc,best_threshold
isolation_forest,0.9485059392863796,0.11978416866412762,-0.0018380715718910867
one_class_svm,0.9417617543836773,0.20809016477298087,0.15034015123751723
local_outlier_factor,0.8805613861228723,0.017437050550357453,-1.444738320870544
random_forest_supervised_baseline,0.9604649790219676,0.8452312808639983,0.24
